severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MAJOR	2020-08-08T12:23:00-0400		50.0	66223454+spagano3@users.noreply.github.com	python:S112	Trivial-Purfuit	20min	Replace this generic exception class with a more specific one.	2020-08-04T12:30:08-0400	CODE_SMELL		Trivial-Purfuit:database_json/csv_to_json.py		default-organization	{startLine=50.0, endLine=50.0, startOffset=22.0, endOffset=164.0}	20min	AXPO4oWBDFRjHwHWsTWv	2d7553171e7907bfaff372c46df653d3	OPEN
MAJOR	2020-08-08T12:23:00-0400		8.0	66223454+spagano3@users.noreply.github.com	python:S125	Trivial-Purfuit	5min	Remove this commented out code.	2020-08-03T20:19:31-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/tests/test_gamestate.py		default-organization	{startLine=8.0, endLine=8.0, startOffset=8.0, endOffset=28.0}	5min	AXPO4oSODFRjHwHWsTWh	97a8177249d6d22ece7cd7869270e146	OPEN
MINOR	2020-08-08T12:23:00-0400		3.0	66223454+spagano3@users.noreply.github.com	python:S117	Trivial-Purfuit	2min	"Rename this parameter ""csvFilePath"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-08-03T19:24:48-0400	CODE_SMELL		Trivial-Purfuit:database_json/csv_to_json.py		default-organization	{startLine=3.0, endLine=3.0, startOffset=21.0, endOffset=32.0}	2min	AXPO4oWBDFRjHwHWsTWt	db01506305a09086b68fd04dc2ffdcba	OPEN
MINOR	2020-08-08T12:23:00-0400		23.0	66223454+spagano3@users.noreply.github.com	python:S117	Trivial-Purfuit	2min	"Rename this local variable ""csvReader"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-08-03T19:24:48-0400	CODE_SMELL		Trivial-Purfuit:database_json/csv_to_json.py		default-organization	{startLine=23.0, endLine=23.0, startOffset=8.0, endOffset=17.0}	2min	AXPO4oWBDFRjHwHWsTWu	058a72dcd8424394460e35f575865080	OPEN
CRITICAL	2020-08-08T12:23:00-0400		66.0	66223454+spagano3@users.noreply.github.com	python:S1192	Trivial-Purfuit	8min	"Define a constant instead of duplicating this literal '    ""' 4 times."	2020-08-03T19:24:48-0400	CODE_SMELL		Trivial-Purfuit:database_json/csv_to_json.py	"{locations=[{component=Trivial-Purfuit:database_json/csv_to_json.py, textRange={startLine=67.0, endLine=67.0, startOffset=20.0, endOffset=27.0}, msg=Duplication}]} / {locations=[{component=Trivial-Purfuit:database_json/csv_to_json.py, textRange={startLine=68.0, endLine=68.0, startOffset=20.0, endOffset=27.0}, msg=Duplication}]} / {locations=[{component=Trivial-Purfuit:database_json/csv_to_json.py, textRange={startLine=69.0, endLine=69.0, startOffset=20.0, endOffset=27.0}, msg=Duplication}]} / "	default-organization	{startLine=66.0, endLine=66.0, startOffset=20.0, endOffset=27.0}	8min	AXPO4oWBDFRjHwHWsTWs	854d7010ec55fae285c599be18cc15f4	OPEN
MINOR	2020-08-08T12:23:00-0400		82.0	66223454+spagano3@users.noreply.github.com	python:S1481	Trivial-Purfuit	5min	"Remove the unused local variable ""i""."	2020-08-03T19:24:48-0400	CODE_SMELL		Trivial-Purfuit:database_json/csv_to_json.py		default-organization	{startLine=82.0, endLine=82.0, startOffset=58.0, endOffset=59.0}	5min	AXPO4oWBDFRjHwHWsTWw	fe5ab91ef1c9be6fdea29c9b375dfa94	OPEN
MINOR	2020-08-08T12:23:00-0400		17.0	fernando@fernandos-macbook-pro.local	Web:BoldAndItalicTagsCheck	Trivial-Purfuit	2min	Replace this <b> tag by <strong>.	2020-08-03T17:52:21-0400	BUG		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=17.0, endLine=17.0, startOffset=13.0, endOffset=16.0}	2min	AXPO4oS7DFRjHwHWsTWj	a81740b0e1942d4cc6e4632fa32b8073	OPEN
MINOR	2020-08-08T12:23:00-0400		68.0	fernando@fernandos-macbook-pro.local	Web:BoldAndItalicTagsCheck	Trivial-Purfuit	2min	Replace this <b> tag by <strong>.	2020-08-03T17:52:21-0400	BUG		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=7.0}	2min	AXPO4oS7DFRjHwHWsTWl	6d97e278ed7ecef4a20c12aa3a34cb3d	OPEN
MAJOR	2020-08-08T12:23:00-0400		59.0	fernando@fernandos-macbook-pro.local	Web:S5255	Trivial-Purfuit	-	"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element."	2020-08-03T17:46:06-0400	CODE_SMELL		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=59.0, endLine=59.0, startOffset=16.0, endOffset=76.0}	-	AXPO4oS7DFRjHwHWsTWp	a73d1f0c459449d3cc90b1d8a411d71b	OPEN
MAJOR	2020-08-08T12:23:00-0400		39.0	ayee6@jh.edu	Web:S5255	Trivial-Purfuit	-	"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element."	2020-08-02T22:47:51-0400	CODE_SMELL		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=39.0, endLine=39.0, startOffset=16.0, endOffset=78.0}	-	AXPO4oS7DFRjHwHWsTWn	97011f260bd30c8ec52ffa8aab26df87	OPEN
MAJOR	2020-08-08T12:23:00-0400		49.0	ayee6@jh.edu	Web:S5255	Trivial-Purfuit	-	"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element."	2020-08-02T22:47:51-0400	CODE_SMELL		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=49.0, endLine=49.0, startOffset=16.0, endOffset=85.0}	-	AXPO4oS7DFRjHwHWsTWo	878b6847c9cfe02b9414f32dfd72ff41	OPEN
MINOR	2020-08-08T12:23:00-0400		19.0	ayee6@jh.edu	Web:BoldAndItalicTagsCheck	Trivial-Purfuit	2min	Replace this <b> tag by <strong>.	2020-08-02T20:40:34-0400	BUG		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=19.0, endLine=19.0, startOffset=12.0, endOffset=15.0}	2min	AXPO4oS7DFRjHwHWsTWk	2d5fef6c87f16217aa1b50e1ebc89720	OPEN
MAJOR	2020-08-08T12:23:00-0400		29.0	ayee6@jh.edu	Web:S5255	Trivial-Purfuit	-	"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element."	2020-08-02T20:40:34-0400	CODE_SMELL		Trivial-Purfuit:presentation_layer/trivial-purfuit/src/app/game/gameBoard/gameBoard.component.html		default-organization	{startLine=29.0, endLine=29.0, startOffset=20.0, endOffset=76.0}	-	AXPO4oS7DFRjHwHWsTWm	870b09797de1d5484c97a993ad6edf86	OPEN
CRITICAL	2020-08-08T12:23:00-0400		36.0	fernando@fernandos-macbook-pro.local	python:S3776	Trivial-Purfuit	30min	Refactor this function to reduce its Cognitive Complexity from 40 to the 15 allowed.	2020-08-02T20:38:03-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py	"{locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=42.0, endLine=42.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=45.0, endLine=45.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=46.0, endLine=46.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=47.0, endLine=47.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=48.0, endLine=48.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=51.0, endLine=51.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=53.0, endLine=53.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=55.0, endLine=55.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=59.0, endLine=59.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=60.0, endLine=60.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=64.0, endLine=64.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=65.0, endLine=65.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=68.0, endLine=68.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=70.0, endLine=70.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=71.0, endLine=71.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=74.0, endLine=74.0, startOffset=24.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=78.0, endLine=78.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / "	default-organization	{startLine=36.0, endLine=36.0, startOffset=8.0, endOffset=21.0}	30min	AXPO4oRFDFRjHwHWsTWZ	9d78acef8e397027b879f5b144bf23d2	OPEN
MAJOR	2020-08-08T12:23:00-0400		48.0	fernando@fernandos-macbook-pro.local	python:S1066	Trivial-Purfuit	5min	Merge this if statement with the enclosing one.	2020-08-02T20:38:03-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py	"{locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py, textRange={startLine=47.0, endLine=47.0, startOffset=20.0, endOffset=22.0}, msg=enclosing}]} / "	default-organization	{startLine=48.0, endLine=48.0, startOffset=24.0, endOffset=26.0}	5min	AXPO4oRFDFRjHwHWsTWS	fd8fd9fc0f69c2a55fba24d338440174	OPEN
CRITICAL	2020-08-08T12:23:00-0400		132.0	fernando@fernandos-macbook-pro.local	python:S3776	Trivial-Purfuit	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2020-08-02T20:12:32-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py	"{locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=134.0, endLine=134.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=135.0, endLine=135.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=137.0, endLine=137.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=140.0, endLine=140.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=142.0, endLine=142.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=144.0, endLine=144.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=145.0, endLine=145.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=147.0, endLine=147.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=149.0, endLine=149.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=150.0, endLine=150.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=152.0, endLine=152.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=159.0, endLine=159.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=161.0, endLine=161.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=163.0, endLine=163.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=165.0, endLine=165.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Trivial-Purfuit:logic_layer/trivial_purfuit_app/gameboard.py, textRange={startLine=167.0, endLine=167.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	default-organization	{startLine=132.0, endLine=132.0, startOffset=8.0, endOffset=27.0}	11min	AXPO4oKCDFRjHwHWsTWH	33915b389308b95b3af89b9148fe3afc	OPEN
MINOR	2020-08-08T12:23:00-0400		63.0	fernando@fernandos-macbook-pro.local	python:S3626	Trivial-Purfuit	1min	Remove this redundant return.	2020-08-02T20:12:32-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py		default-organization	{startLine=63.0, endLine=63.0, startOffset=16.0, endOffset=22.0}	1min	AXPO4oRFDFRjHwHWsTWU	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MINOR	2020-08-08T12:23:00-0400		67.0	fernando@fernandos-macbook-pro.local	python:S3626	Trivial-Purfuit	1min	Remove this redundant return.	2020-08-02T20:12:32-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py		default-organization	{startLine=67.0, endLine=67.0, startOffset=21.0, endOffset=27.0}	1min	AXPO4oRFDFRjHwHWsTWV	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MINOR	2020-08-08T12:23:00-0400		73.0	fernando@fernandos-macbook-pro.local	python:S3626	Trivial-Purfuit	1min	Remove this redundant return.	2020-08-02T20:12:32-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py		default-organization	{startLine=73.0, endLine=73.0, startOffset=28.0, endOffset=34.0}	1min	AXPO4oRFDFRjHwHWsTWW	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MINOR	2020-08-08T12:23:00-0400		77.0	fernando@fernandos-macbook-pro.local	python:S3626	Trivial-Purfuit	1min	Remove this redundant return.	2020-08-02T20:12:32-0400	CODE_SMELL		Trivial-Purfuit:logic_layer/trivial_purfuit_app/gamestate.py		default-organization	{startLine=77.0, endLine=77.0, startOffset=28.0, endOffset=34.0}	1min	AXPO4oRFDFRjHwHWsTWX	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
